GPA,Home,Who are the two senators from Pennsylvania,Primary Source of political news,Political Party,Parents' Party,What best describes your political ideology?,When do you trust the current U.S. government to do what is right?,How do you feel about how Donald Trump is handling his job as a President?,"Do you think the U.S. govt is doing too much, too little, or about the right amount in terms of protecting the environment?",How confident are you in the results of U.S. elections?,Do you feel the federal minimum wage should be,Grade level,Political Knowledge
4.01 or above,Suburban,Warren Davidson and Dave Mccormick,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Never,Somewhat Approve,Unsure/Don't Know,Unsure,Increased,10,FALSE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Friends and Family,Democrat,Democrat,Moderate,Some of the time,Disapprove,Too little,Somewhat confident,Increased,10,TRUE
3.0 or below,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Republican ,Republican,,Most of the time,Approve,About the right amount,Very confident,Increased,10,FALSE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Friends and Family,Democrat,Democrat;Independent,Liberal,Some of the time,Disapprove,Too little,Not confident,Increased,10,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Friends and Family,Republican ,Republican,Conservative,Most of the time,Approve,Unsure/Don't Know,Somewhat confident,Increased,11,TRUE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Cable TV News,Republican ,Republican,Moderate,Most of the time,Approve,About the right amount,Somewhat confident,Increased,11,TRUE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Cable TV News,Don't Know/Don't Identify,Don't Know,Moderate,Most of the time,Unsure,Unsure/Don't Know,Somewhat confident,Increased,11,TRUE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Somewhat Conservative,Some of the time,Approve,Unsure/Don't Know,Somewhat confident,Increased,11,TRUE
3.0 or below,Suburban,Dave McCormick and John Fetterman,Friends and Family;Tiktok or Instagram,Don't Know/Don't Identify,Republican;Democrat,Moderate,Some of the time,Disapprove,Too little,Unsure,Increased,11,TRUE
3.01-3.5,Rural,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Democrat,Democrat,Moderate,Never,Disapprove,Too much,Somewhat confident,Increased,11,FALSE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Friends and Family;Tiktok or Instagram,Republican ,Republican,Somewhat Conservative,Some of the time,Somewhat Approve,Too little,Very confident,Maintained,11,TRUE
3.01-3.5,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Don't Know/Don't Identify,Republican,Moderate,Most of the time,Somewhat Approve,Too little,Very confident,Increased,11,FALSE
3.51-4.0,Suburban,Josh Shapiro and Madeline Dean,Cable TV News;Tiktok or Instagram,Don't Know/Don't Identify,Republican;Democrat,Moderate,Some of the time,Unsure,About the right amount,Somewhat confident,Increased,11,FALSE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Most of the time,Somewhat Disapprove,Unsure/Don't Know,Unsure,Increased,11,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Friends and Family;Cable TV News,Republican ,Republican;Independent,Conservative,Some of the time,Approve,About the right amount,Very confident,Increased,11,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Cable TV News,Republican ,Republican,Moderate,Most of the time,Somewhat Approve,Unsure/Don't Know,Somewhat confident,Increased,11,TRUE
3.51-4.0,Urban,Dave McCormick and John Fetterman,Tiktok or Instagram,Don't Know/Don't Identify,Democrat,Moderate,Some of the time,Disapprove,Unsure/Don't Know,Not confident,Increased,11,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Friends and Family,Don't Know/Don't Identify,Don't Know,Moderate,Most of the time,Unsure,Unsure/Don't Know,Unsure,Increased,11,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Cable TV News,Republican ,Republican,Somewhat Conservative,Most of the time,Approve,About the right amount,Somewhat confident,Increased,11,TRUE
3.51-4.0,Suburban,Warren Davidson and Dave Mccormick,Cable TV News,Democrat,Republican,Somewhat Liberal,Most of the time,Disapprove,Too little,Very confident,Increased,11,FALSE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Cable TV News,Republican ,Republican,Conservative,Most of the time,Approve,About the right amount,Somewhat confident,Increased,11,TRUE
3.01-3.5,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Some of the time,Unsure,Unsure/Don't Know,Somewhat confident,Increased,11,FALSE
3.01-3.5,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Some of the time,Somewhat Disapprove,Too little,Unsure,Increased,11,FALSE
3.51-4.0,Rural,Dave McCormick and John Fetterman,Friends and Family;Cable TV News;Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Some of the time,Unsure,Too little,Unsure,Increased,11,TRUE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram,Republican ,Republican;Democrat,Conservative,Most of the time,Somewhat Approve,Unsure/Don't Know,Somewhat confident,Increased,11,TRUE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Some of the time,Unsure,Unsure/Don't Know,Unsure,Increased,11,TRUE
